Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.61,0.31,0.31054950397808545
100% Corpus,2,0.61,0.61,0.31054950397808545
100% Corpus,2,0.61,0.9099999999999999,0.31204588209557005
100% Corpus,2,0.61,symmetric,0.3105495039780855
100% Corpus,2,0.9099999999999999,0.01,0.3105495039780855
100% Corpus,2,0.9099999999999999,0.31,0.31054950397808545
100% Corpus,2,0.9099999999999999,0.61,0.31054950397808545
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.31204588209557005
100% Corpus,2,0.9099999999999999,symmetric,0.31054950397808545
100% Corpus,2,symmetric,0.01,0.3105495039780855
100% Corpus,2,symmetric,0.31,0.31054950397808545
100% Corpus,2,symmetric,0.61,0.31054950397808545
100% Corpus,2,symmetric,0.9099999999999999,0.31204588209557005
100% Corpus,2,symmetric,symmetric,0.3105495039780855
100% Corpus,2,asymmetric,0.01,0.31054950397808545
100% Corpus,2,asymmetric,0.31,0.31054950397808545
100% Corpus,2,asymmetric,0.61,0.31054950397808545
100% Corpus,2,asymmetric,0.9099999999999999,0.31204588209557005
100% Corpus,2,asymmetric,symmetric,0.3105495039780855
100% Corpus,3,0.01,0.01,0.2745464260506199
100% Corpus,3,0.01,0.31,0.2824311821483687
100% Corpus,3,0.01,0.61,0.28307093714125314
100% Corpus,3,0.01,0.9099999999999999,0.2719272454288923
100% Corpus,3,0.01,symmetric,0.2827633566674694
100% Corpus,3,0.31,0.01,0.2745464260506199
100% Corpus,3,0.31,0.31,0.2824311821483687
100% Corpus,3,0.31,0.61,0.2816889323903131
100% Corpus,3,0.31,0.9099999999999999,0.2724243591437828
100% Corpus,3,0.31,symmetric,0.2827633566674694
100% Corpus,3,0.61,0.01,0.2745464260506199
100% Corpus,3,0.61,0.31,0.2824311821483687
100% Corpus,3,0.61,0.61,0.2816889323903131
100% Corpus,3,0.61,0.9099999999999999,0.2724243591437828
100% Corpus,3,0.61,symmetric,0.2827633566674694
100% Corpus,3,0.9099999999999999,0.01,0.2745464260506199
100% Corpus,3,0.9099999999999999,0.31,0.2824311821483687
100% Corpus,3,0.9099999999999999,0.61,0.28124379959362855
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2724243591437828
100% Corpus,3,0.9099999999999999,symmetric,0.2827633566674694
100% Corpus,3,symmetric,0.01,0.2745464260506199
100% Corpus,3,symmetric,0.31,0.2824311821483687
100% Corpus,3,symmetric,0.61,0.2816889323903131
100% Corpus,3,symmetric,0.9099999999999999,0.2724243591437828
100% Corpus,3,symmetric,symmetric,0.2827633566674694
100% Corpus,3,asymmetric,0.01,0.2745464260506199
100% Corpus,3,asymmetric,0.31,0.2827633566674694
100% Corpus,3,asymmetric,0.61,0.28307093714125314
100% Corpus,3,asymmetric,0.9099999999999999,0.2724243591437828
100% Corpus,3,asymmetric,symmetric,0.2827633566674694
100% Corpus,4,0.01,0.01,0.27803450959448595
100% Corpus,4,0.01,0.31,0.2758387245974604
100% Corpus,4,0.01,0.61,0.28165600902262106
100% Corpus,4,0.01,0.9099999999999999,0.27993018481563564
100% Corpus,4,0.01,symmetric,0.27846336323639287
100% Corpus,4,0.31,0.01,0.27803450959448595
100% Corpus,4,0.31,0.31,0.27070031036229536
100% Corpus,4,0.31,0.61,0.28165600902262106
100% Corpus,4,0.31,0.9099999999999999,0.2770859857682595
100% Corpus,4,0.31,symmetric,0.2778833544470557
100% Corpus,4,0.61,0.01,0.2800895694826781
100% Corpus,4,0.61,0.31,0.27070031036229536
100% Corpus,4,0.61,0.61,0.28165600902262106
